overcorrection_r0.8,risky_to_safe_r0.8,risky_to_neutral_r0.8,risky_to_risky_r0.8,overcorrection_r0.4,risky_to_safe_r0.4,risky_to_neutral_r0.4,risky_to_risky_r0.4,overcorrection_r0.1,risky_to_safe_r0.1,risky_to_neutral_r0.1,risky_to_risky_r0.1,test_accuracy,accuracy_class_0,accuracy_class_1,accuracy_class_2,penalty_magnitude,final_loss,experiment,num_trauma,trauma_oversample,hidden_dims
0.0558,0.0558,0.0406,0.9036,0.0284,0.0284,0.0853,0.8863,0.0311,0.0311,0.0533,0.9156,0.9244,0.9245,0.9438,0.9021,1,0.3209,pedagogical,20,10.0000,"[16, 8]"
0.0558,0.0558,0.0355,0.9086,0.0284,0.0284,0.0853,0.8863,0.0311,0.0311,0.0533,0.9156,0.9254,0.9245,0.9451,0.9036,10,0.3200,pedagogical,20,10.0000,"[16, 8]"
0.0558,0.0558,0.0355,0.9086,0.0284,0.0284,0.0853,0.8863,0.0311,0.0311,0.0489,0.9200,0.9239,0.9214,0.9424,0.9052,100,0.3245,pedagogical,20,10.0000,"[16, 8]"
0.0558,0.0558,0.0355,0.9086,0.0284,0.0284,0.0806,0.8910,0.0311,0.0311,0.0356,0.9333,0.9224,0.9198,0.9342,0.9115,1000,0.3377,pedagogical,20,10.0000,"[16, 8]"
0.0558,0.0558,0.0406,0.9036,0.0284,0.0284,0.0900,0.8815,0.0311,0.0311,0.0400,0.9289,0.9234,0.9245,0.9383,0.9052,10000,0.3465,pedagogical,20,10.0000,"[16, 8]"
0.0579,0.0579,0.0474,0.8947,0.0284,0.0284,0.0853,0.8863,0.0311,0.0311,0.0400,0.9289,0.9149,0.9193,0.9203,0.9042,1,0.2925,realistic,5,1.0000,"[64, 32, 16]"
0.0526,0.0526,0.0526,0.8947,0.0284,0.0284,0.0853,0.8863,0.0311,0.0311,0.0444,0.9244,0.9129,0.9003,0.9324,0.9026,10,0.2937,realistic,5,1.0000,"[64, 32, 16]"
0.0579,0.0579,0.0421,0.9000,0.0284,0.0284,0.0900,0.8815,0.0311,0.0311,0.0356,0.9333,0.9154,0.9051,0.9324,0.9058,100,0.2991,realistic,5,1.0000,"[64, 32, 16]"
0.0526,0.0526,0.0632,0.8842,0.0284,0.0284,0.0900,0.8815,0.0311,0.0311,0.0578,0.9111,0.9099,0.8940,0.9378,0.8930,1000,0.3002,realistic,5,1.0000,"[64, 32, 16]"
0.0526,0.0526,0.0474,0.9000,0.0284,0.0284,0.0806,0.8910,0.0311,0.0311,0.0444,0.9244,0.9114,0.8940,0.9311,0.9058,10000,0.3083,realistic,5,1.0000,"[64, 32, 16]"
